Place of interest,Place address,BiciMAD station,Station location,Distance,Available Bikes,URL google maps
Colegio Público Isaac Albéniz,CALLE DRACENA 29,Pío XII,Avenida Pío XII nº 3,987.7896122388271,5,https://www.google.com/maps/dir/Colegio+Público+Isaac+Albéniz/Bicimad+Pío+XII
Colegio Público Isaac Peral,GLORIETA RUFINO NOVALVOS 5,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2080.300778076727,4,https://www.google.com/maps/dir/Colegio+Público+Isaac+Peral/Bicimad+Marqués+de+Vadillo
Colegio Público Isabel la Católica,CALLE BARCELO 2,Barceló,Calle Barceló nº 7,78.21756507546027,17,https://www.google.com/maps/dir/Colegio+Público+Isabel+la+Católica/Bicimad+Barceló
Colegio Público Jaime Balmes,CALLE SIERRA DE LA SOLANA 2,Concordia,Calle Arroyo del Olivar nº 6,851.4809763964519,2,https://www.google.com/maps/dir/Colegio+Público+Jaime+Balmes/Bicimad+Concordia
Colegio Público Jaime Vera,CALLE BRAVO MURILLO 162,Estrecho,Calle Navarra nº 1,119.02399567869811,2,https://www.google.com/maps/dir/Colegio+Público+Jaime+Vera/Bicimad+Estrecho
Colegio Público Javier de Miguel,CALLE JAVIER DE MIGUEL 90,Concordia,Calle Arroyo del Olivar nº 6,1293.4742436108252,2,https://www.google.com/maps/dir/Colegio+Público+Javier+de+Miguel/Bicimad+Concordia
Colegio Público Joaquín Costa,PASEO PONTONES 8,Paseo Imperial,Paseo Imperial nº 20,377.55155863257926,11,https://www.google.com/maps/dir/Colegio+Público+Joaquín+Costa/Bicimad+Paseo+Imperial
Colegio Público Joaquín Dicenta,PASEO OLIVOS 70,Caramuel,Calle Caramuel nº 51,1165.9198913869375,5,https://www.google.com/maps/dir/Colegio+Público+Joaquín+Dicenta/Bicimad+Caramuel
Colegio Público Joaquín Turina,CALLE ARTURO SORIA 332,Manuel Caldeiro,Paseo de la Castellana nº 298,2123.1470443631533,9,https://www.google.com/maps/dir/Colegio+Público+Joaquín+Turina/Bicimad+Manuel+Caldeiro
Colegio Público Jorge Guillén,AVENIDA EL FERROL 47,Remonta,Calle Azucenas nº 1,1791.6291464722306,4,https://www.google.com/maps/dir/Colegio+Público+Jorge+Guillén/Bicimad+Remonta
Colegio Público Jorge Manrique,PLAZA PINTOR LUCAS 17,San Delfín,Calle San Delfín nº 9,747.7660121205145,3,https://www.google.com/maps/dir/Colegio+Público+Jorge+Manrique/Bicimad+San+Delfín
Colegio Público Josep Tarradellas,CALLE TRIACASTELA 1,Manuel Caldeiro,Paseo de la Castellana nº 298,3764.0869200431853,9,https://www.google.com/maps/dir/Colegio+Público+Josep+Tarradellas/Bicimad+Manuel+Caldeiro
Colegio Público José Bergamín,CALLE BRAILLE 19,Pedro Rico,Calle Pedro Rico nº 4,1815.0663802991685,2,https://www.google.com/maps/dir/Colegio+Público+José+Bergamín/Bicimad+Pedro+Rico
Colegio Público José Calvo Sotelo,AVENIDA CIUDAD DE BARCELONA 83,Pedro Bosch,Calle Cerro de la Plata nº 2,70.93320407186157,19,https://www.google.com/maps/dir/Colegio+Público+José+Calvo+Sotelo/Bicimad+Pedro+Bosch
Colegio Público José María de Pereda,CALLE MESTANZA 94,Méndez Álvaro,Calle Retama nº 5,1374.2687730359116,15,https://www.google.com/maps/dir/Colegio+Público+José+María+de+Pereda/Bicimad+Méndez+Álvaro
Colegio Público José Ortega y Gasset,CALLE ORENSE 87,Remonta,Calle Azucenas nº 1,383.8008773578655,4,https://www.google.com/maps/dir/Colegio+Público+José+Ortega+y+Gasset/Bicimad+Remonta
Colegio Público José de Echegaray,CALLE PUENTEDEY 14,Pavones,Calle Hacienda de Pavones nº 342,4218.226594150226,11,https://www.google.com/maps/dir/Colegio+Público+José+de+Echegaray/Bicimad+Pavones
Colegio Público Jovellanos,CALLE MONROY 34,Caramuel,Calle Caramuel nº 51,6927.774621509151,5,https://www.google.com/maps/dir/Colegio+Público+Jovellanos/Bicimad+Caramuel
Colegio Público Juan Gris,CALLE MUELA DE SAN JUAN 31,Pavones,Calle Hacienda de Pavones nº 342,3637.4061545849336,11,https://www.google.com/maps/dir/Colegio+Público+Juan+Gris/Bicimad+Pavones
Colegio Público Juan Ramón Jiménez,CALLE MARQUES DE VIANA 58,Metro Tetuán,Calle Marqués de Viana nº 3,550.02745540171,3,https://www.google.com/maps/dir/Colegio+Público+Juan+Ramón+Jiménez/Bicimad+Metro+Tetuán
Colegio Público Juan Sebastián Elcano,CALLE MIRASIERRA 29,Antonio López,Calle Eugenio Caxes frente al nº 12,383.95960162382937,17,https://www.google.com/maps/dir/Colegio+Público+Juan+Sebastián+Elcano/Bicimad+Antonio+López
Colegio Público Juan Zaragüeta,CALLE VIA DE LOS POBLADOS 19,Carlota O’Neill,Calle Carlota O'Neill nº 32,3742.6398015658788,14,https://www.google.com/maps/dir/Colegio+Público+Juan+Zaragüeta/Bicimad+Carlota+O’Neill
Colegio Público Juan de la Cierva,CALLE VILLARROSA 7,Embajadores 191,Calle Sodio nº 1B,3876.4549426683798,8,https://www.google.com/maps/dir/Colegio+Público+Juan+de+la+Cierva/Bicimad+Embajadores+191
Colegio Público Julián Besteiro,AVENIDA ABRANTES 79,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2348.7332255043293,4,https://www.google.com/maps/dir/Colegio+Público+Julián+Besteiro/Bicimad+Marqués+de+Vadillo
Colegio Público Julián Marías,CALLE BUDAPEST 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,4294.62289616082,13,https://www.google.com/maps/dir/Colegio+Público+Julián+Marías/Bicimad+Gutierre+de+Cetina
Colegio Público La Alameda,CALLE MUSAS 9,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3737.422301551575,13,https://www.google.com/maps/dir/Colegio+Público+La+Alameda/Bicimad+Gutierre+de+Cetina
Colegio Público La Dehesa del Príncipe,PASEO LANCEROS 4,Caramuel,Calle Caramuel nº 51,7996.76327834091,5,https://www.google.com/maps/dir/Colegio+Público+La+Dehesa+del+Príncipe/Bicimad+Caramuel
Colegio Público La Latina,CALLE MAQUEDA 130,Caramuel,Calle Caramuel nº 51,4363.44476272609,5,https://www.google.com/maps/dir/Colegio+Público+La+Latina/Bicimad+Caramuel
Colegio Público La Rioja,CALLE LEON FELIPE 3,Pavones,Calle Hacienda de Pavones nº 342,1386.8348116044997,11,https://www.google.com/maps/dir/Colegio+Público+La+Rioja/Bicimad+Pavones
Colegio Público Legado Crespo,PASEO ACACIAS 2,Embajadores 1,Glorieta de Embajadores nº 6,121.57465038565786,15,https://www.google.com/maps/dir/Colegio+Público+Legado+Crespo/Bicimad+Embajadores+1
Colegio Público Leopoldo Alas,CALLE PEDREZUELA 18,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,350.7970904311866,7,https://www.google.com/maps/dir/Colegio+Público+Leopoldo+Alas/Bicimad+Marqués+de+Corbera+52
Colegio Público Leopoldo Calvo Sotelo,CALLE CASTIELLO DE JACA 2,Manuel Caldeiro,Paseo de la Castellana nº 298,2644.234275542206,9,https://www.google.com/maps/dir/Colegio+Público+Leopoldo+Calvo+Sotelo/Bicimad+Manuel+Caldeiro
Colegio Público Lepanto,CALLE VALDERREY 9,Francos Rodríguez,Calle Francos Rodríguez nº 62,1953.2797897808086,8,https://www.google.com/maps/dir/Colegio+Público+Lepanto/Bicimad+Francos+Rodríguez
Colegio Público Lope de Vega,CALLE INGLATERRA 8,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,845.2945381922733,4,https://www.google.com/maps/dir/Colegio+Público+Lope+de+Vega/Bicimad+Marqués+de+Vadillo
Colegio Público Lorenzo Luzuriaga,CALLE VALENCIA DE DON JUAN 13,Pedro Rico,Calle Pedro Rico nº 4,1591.7634377225793,2,https://www.google.com/maps/dir/Colegio+Público+Lorenzo+Luzuriaga/Bicimad+Pedro+Rico
Colegio Público Los Almendros,CALLE LADERA DE LOS ALMENDROS 45,Pavones,Calle Hacienda de Pavones nº 342,1082.7144193100312,11,https://www.google.com/maps/dir/Colegio+Público+Los+Almendros/Bicimad+Pavones
Colegio Público Los Rosales,AVENIDA LOS ROSALES 131,Embajadores 191,Calle Sodio nº 1B,4402.562118723822,8,https://www.google.com/maps/dir/Colegio+Público+Los+Rosales/Bicimad+Embajadores+191
Colegio Público Loyola de Palacio,CALLE EMBALSE DE NAVACERRADA 60,Pavones,Calle Hacienda de Pavones nº 342,5983.498610684637,11,https://www.google.com/maps/dir/Colegio+Público+Loyola+de+Palacio/Bicimad+Pavones
Colegio Público Luis Bello,CALLE LUIS CABRERA 66,Prosperidad,Calle Suero de Quiñones nº 2,184.9293595718927,6,https://www.google.com/maps/dir/Colegio+Público+Luis+Bello/Bicimad+Prosperidad
Colegio Público Luis Cernuda,CALLE CARRIL DEL CONDE 64,Carlota O’Neill,Calle Carlota O'Neill nº 32,2039.0570646904598,14,https://www.google.com/maps/dir/Colegio+Público+Luis+Cernuda/Bicimad+Carlota+O’Neill
Colegio Público Luis de Góngora,CALLE SARRIA 49,Francos Rodríguez,Calle Francos Rodríguez nº 62,2113.170504388948,8,https://www.google.com/maps/dir/Colegio+Público+Luis+de+Góngora/Bicimad+Francos+Rodríguez
Colegio Público Madrid Sur,CALLE PUERTO DE BALBARAN 133,Concordia,Calle Arroyo del Olivar nº 6,2254.6222156690224,2,https://www.google.com/maps/dir/Colegio+Público+Madrid+Sur/Bicimad+Concordia
Colegio Público Maestro Padilla,AVENIDA PESETA 112,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5244.204657720235,4,https://www.google.com/maps/dir/Colegio+Público+Maestro+Padilla/Bicimad+Marqués+de+Vadillo
Colegio Público Manuel Bartolomé Cossío,CALLE JOSE DE CADALSO 19,Caramuel,Calle Caramuel nº 51,5725.863329473751,5,https://www.google.com/maps/dir/Colegio+Público+Manuel+Bartolomé+Cossío/Bicimad+Caramuel
Colegio Público Manuel Núñez de Arenas,CALLE MARTOS 120,Concordia,Calle Arroyo del Olivar nº 6,2120.206685099238,2,https://www.google.com/maps/dir/Colegio+Público+Manuel+Núñez+de+Arenas/Bicimad+Concordia
Colegio Público Manuel Sáinz de Vicuña,CALLE CAMINO DE LOS VINATEROS 104,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,388.85657744711807,19,https://www.google.com/maps/dir/Colegio+Público+Manuel+Sáinz+de+Vicuña/Bicimad+Plaza+del+Encuentro
Colegio Público Manuel de Falla,CALLE JOSE ORTU&amp;Ntilde;O PONCE 2,Glorieta de Cádiz,Calle Antonio López nº 129,4789.95730501057,12,https://www.google.com/maps/dir/Colegio+Público+Manuel+de+Falla/Bicimad+Glorieta+de+Cádiz
Colegio Público Marcelo Usera,CALLE PERALES DE TAJUÑA 1,Glorieta de Cádiz,Calle Antonio López nº 129,209.27037082254984,12,https://www.google.com/maps/dir/Colegio+Público+Marcelo+Usera/Bicimad+Glorieta+de+Cádiz
Colegio Público Margaret Thatcher,GLORIETA PLAYA DE SAN LORENZO 4,Carlota O’Neill,Calle Carlota O'Neill nº 32,7173.433061172259,14,https://www.google.com/maps/dir/Colegio+Público+Margaret+Thatcher/Bicimad+Carlota+O’Neill
Colegio Público Mariano José de Larra,CALLE LONGARES 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3573.026414810027,13,https://www.google.com/maps/dir/Colegio+Público+Mariano+José+de+Larra/Bicimad+Gutierre+de+Cetina
Colegio Público Marqués de Marcenado,CALLE LINNEO 31,Paseo Imperial,Paseo Imperial nº 20,473.37462691558505,11,https://www.google.com/maps/dir/Colegio+Público+Marqués+de+Marcenado/Bicimad+Paseo+Imperial
Colegio Público Marqués de Suanzes,AVENIDA VEINTICINCO DE SEPTIEMBRE 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2362.5209106374914,13,https://www.google.com/maps/dir/Colegio+Público+Marqués+de+Suanzes/Bicimad+Gutierre+de+Cetina
Colegio Público Martínez Montañés,CALLE HACIENDA DE PAVONES 223,Pavones,Calle Hacienda de Pavones nº 342,187.87579514545212,11,https://www.google.com/maps/dir/Colegio+Público+Martínez+Montañés/Bicimad+Pavones
Colegio Público María Moliner,CALLE ARCOS DE JALON 34,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2580.149918296601,13,https://www.google.com/maps/dir/Colegio+Público+María+Moliner/Bicimad+Gutierre+de+Cetina
Colegio Público María de Villota,CALLE ENRIQUE GARCIA ALVAREZ 11,Pavones,Calle Hacienda de Pavones nº 342,2953.753781684797,11,https://www.google.com/maps/dir/Colegio+Público+María+de+Villota/Bicimad+Pavones
Colegio Público Menéndez Pelayo,CALLE MENDEZ ALVARO 16,Atocha B,Paseo de la Infanta Isabel nº 3,256.1708782423962,27,https://www.google.com/maps/dir/Colegio+Público+Menéndez+Pelayo/Bicimad+Atocha+B
Colegio Público Menéndez Pidal,CALLE ENCOMIENDA DE PALACIOS 85,Pavones,Calle Hacienda de Pavones nº 342,733.0427178036704,11,https://www.google.com/maps/dir/Colegio+Público+Menéndez+Pidal/Bicimad+Pavones
Colegio Público Meseta de Orcasitas,CALLE CAMINO VIEJO DE VILLAVERDE 1,Glorieta de Cádiz,Calle Antonio López nº 129,2217.490782443814,12,https://www.google.com/maps/dir/Colegio+Público+Meseta+de+Orcasitas/Bicimad+Glorieta+de+Cádiz
Colegio Público Mesonero Romanos,CALLE PONT DE MOLINS 31,Pavones,Calle Hacienda de Pavones nº 342,1321.564131642511,11,https://www.google.com/maps/dir/Colegio+Público+Mesonero+Romanos/Bicimad+Pavones
Colegio Público Miguel Blasco Vilatela,CALLE HERMANOS GARCIA NOBLEJAS 70,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,983.1511895346325,13,https://www.google.com/maps/dir/Colegio+Público+Miguel+Blasco+Vilatela/Bicimad+Gutierre+de+Cetina
Colegio Público Miguel Servet,CALLE FRAGATA 33,Caramuel,Calle Caramuel nº 51,1911.8707168585672,5,https://www.google.com/maps/dir/Colegio+Público+Miguel+Servet/Bicimad+Caramuel
Colegio Público Miguel de Unamuno,CALLE ALICANTE 5,Beata,Calle Alicante nº 3,28.06350383363121,16,https://www.google.com/maps/dir/Colegio+Público+Miguel+de+Unamuno/Bicimad+Beata
Colegio Público Mirasierra,CALLE LA MASO 22,Pedro Rico,Calle Pedro Rico nº 4,3081.2552534378196,2,https://www.google.com/maps/dir/Colegio+Público+Mirasierra/Bicimad+Pedro+Rico
Colegio Público Monte de El Pardo,AVENIDA GUARDIA 19,Facultad Derecho,Avenida Complutense nº 23,8897.937651032737,9,https://www.google.com/maps/dir/Colegio+Público+Monte+de+El+Pardo/Bicimad+Facultad+Derecho
Colegio Público Méjico (México),AVENIDA BADAJOZ 74,Carlota O’Neill,Calle Carlota O'Neill nº 32,207.86048973365786,14,https://www.google.com/maps/dir/Colegio+Público+Méjico+(México)/Bicimad+Carlota+O’Neill
Colegio Público Méndez Núñez,CALLE ALICUN 9,Chamartín,Calle Rodríguez Jaén nº 40,2829.6957618640527,7,https://www.google.com/maps/dir/Colegio+Público+Méndez+Núñez/Bicimad+Chamartín
Colegio Público Navas de Tolosa,CALLE BENIMAMET 109,Embajadores 191,Calle Sodio nº 1B,5032.0650804712905,8,https://www.google.com/maps/dir/Colegio+Público+Navas+de+Tolosa/Bicimad+Embajadores+191
Colegio Público Nuestra Señora de la Almudena,CALLE LOPE DE RUEDA 48,Retiro-Ibiza,Calle Ibiza nº 18,164.52819646313947,19,https://www.google.com/maps/dir/Colegio+Público+Nuestra+Señora+de+la+Almudena/Bicimad+Retiro-Ibiza
Colegio Público Nuestra Señora de la Concepción,CALLE VIRGEN DEL SAGRARIO 24,C.D. Concepción,Calle Jose del Hierro nº 5,188.92605620741026,6,https://www.google.com/maps/dir/Colegio+Público+Nuestra+Señora+de+la+Concepción/Bicimad+C.D.+Concepción
Colegio Público Nuestra Señora de la Fuencisla,CALLE TOMELLOSO 39,Glorieta de Cádiz,Calle Antonio López nº 129,997.2110167677862,12,https://www.google.com/maps/dir/Colegio+Público+Nuestra+Señora+de+la+Fuencisla/Bicimad+Glorieta+de+Cádiz
Colegio Público Nuestra Señora de la Luz,CALLE MAGNESIA 9,Glorieta de Cádiz,Calle Antonio López nº 129,5078.099405614983,12,https://www.google.com/maps/dir/Colegio+Público+Nuestra+Señora+de+la+Luz/Bicimad+Glorieta+de+Cádiz
Colegio Público Nuestra Señora de la Paloma,CALLE TABERNILLAS 2,Plaza de los Carros,Carrera de San Francisco nº 1,37.05888360296307,21,https://www.google.com/maps/dir/Colegio+Público+Nuestra+Señora+de+la+Paloma/Bicimad+Plaza+de+los+Carros
Colegio Público Nuestra Señora del Lucero,CALLE MUÑICO 1,Caramuel,Calle Caramuel nº 51,1583.5792704771727,5,https://www.google.com/maps/dir/Colegio+Público+Nuestra+Señora+del+Lucero/Bicimad+Caramuel
Colegio Público Nuria Espert,CALLE MARIA REICHE 34,Carlota O’Neill,Calle Carlota O'Neill nº 32,6446.511774672736,14,https://www.google.com/maps/dir/Colegio+Público+Nuria+Espert/Bicimad+Carlota+O’Neill
Colegio Público Pablo Picasso,CALLE ANGEL LUIS DE LA HERRAN 35,Carlota O’Neill,Calle Carlota O'Neill nº 32,3021.3218093895384,14,https://www.google.com/maps/dir/Colegio+Público+Pablo+Picasso/Bicimad+Carlota+O’Neill
Colegio Público Padre Coloma,CALLE GUTIERREZ CANALES 19,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3584.42651877257,13,https://www.google.com/maps/dir/Colegio+Público+Padre+Coloma/Bicimad+Gutierre+de+Cetina
Colegio Público Padre Mariana,RONDA SUR 145,Concordia,Calle Arroyo del Olivar nº 6,1963.017878345474,2,https://www.google.com/maps/dir/Colegio+Público+Padre+Mariana/Bicimad+Concordia
Colegio Público Padre Poveda,AVENIDA ALFONSO XIII 23,Corazón de María,Calle Santa Hortensia nº 31,786.5721618431452,7,https://www.google.com/maps/dir/Colegio+Público+Padre+Poveda/Bicimad+Corazón+de+María
Colegio Público Palacio Valdés,PASEO PRADO 38,Almadén,Calle Almadén nº 28,46.84302565113655,17,https://www.google.com/maps/dir/Colegio+Público+Palacio+Valdés/Bicimad+Almadén
Colegio Público Palomeras Bajas,CALLE FELIPE DE DIEGO 6,Concordia,Calle Arroyo del Olivar nº 6,1724.640565666263,2,https://www.google.com/maps/dir/Colegio+Público+Palomeras+Bajas/Bicimad+Concordia
Colegio Público Parque Aluche,CALLE QUERO 47,Caramuel,Calle Caramuel nº 51,4155.510557971418,5,https://www.google.com/maps/dir/Colegio+Público+Parque+Aluche/Bicimad+Caramuel
Colegio Público Parque Eugenia de Montijo,CALLE PARQUE EUGENIA DE MONTIJO 28,Caramuel,Calle Caramuel nº 51,4335.183796256954,5,https://www.google.com/maps/dir/Colegio+Público+Parque+Eugenia+de+Montijo/Bicimad+Caramuel
Colegio Público Pasamonte,AVENIDA DOCTOR GARCIA TAPIA 47,Marroquina,Calle Camino de los Vinateros nº 108,469.9540202684864,16,https://www.google.com/maps/dir/Colegio+Público+Pasamonte/Bicimad+Marroquina
Colegio Público Patriarca Obispo Eijo y Garay,CALLE LOPEZ DE HOYOS 40,Velázquez 130,Calle Velázquez nº 130,216.5089095960258,3,https://www.google.com/maps/dir/Colegio+Público+Patriarca+Obispo+Eijo+y+Garay/Bicimad+Velázquez+130
Colegio Público Pedro Duque,CALLE MARMOLINA 5,Pavones,Calle Hacienda de Pavones nº 342,3063.0985868910325,11,https://www.google.com/maps/dir/Colegio+Público+Pedro+Duque/Bicimad+Pavones
Colegio Público Perú,CALLE BALEARES 18,San Delfín,Calle San Delfín nº 9,586.3084050396877,3,https://www.google.com/maps/dir/Colegio+Público+Perú/Bicimad+San+Delfín
Colegio Público Pi I Margall,PLAZA DOS DE MAYO 2,San Andrés,Calle San Andrés nº 18,111.75136149570733,10,https://www.google.com/maps/dir/Colegio+Público+Pi+I+Margall/Bicimad+San+Andrés
Colegio Público Pinar de San José,CALLE PATRIMONIO DE LA HUMANIDAD 39,Caramuel,Calle Caramuel nº 51,6506.280741133302,5,https://www.google.com/maps/dir/Colegio+Público+Pinar+de+San+José/Bicimad+Caramuel
Colegio Público Pinar del Rey,AVENIDA SAN LUIS 23,Pío XII,Avenida Pío XII nº 3,2840.758821417243,5,https://www.google.com/maps/dir/Colegio+Público+Pinar+del+Rey/Bicimad+Pío+XII
Colegio Público Pintor Rosales,CALLE PRINCIPE DE VERGARA 139,María Francisca 1,Calle María Francisca nº 1,45.192902363908814,8,https://www.google.com/maps/dir/Colegio+Público+Pintor+Rosales/Bicimad+María+Francisca+1
Colegio Público Plácido Domingo,CALLE TEJO 5,Méndez Álvaro,Calle Retama nº 5,459.2780956249685,15,https://www.google.com/maps/dir/Colegio+Público+Plácido+Domingo/Bicimad+Méndez+Álvaro
Colegio Público Portugal,CALLE JUAN ALVAREZ MENDIZABAL 20,Ventura Rodríguez,Calle Duque de Liria,206.70688694151352,8,https://www.google.com/maps/dir/Colegio+Público+Portugal/Bicimad+Ventura+Rodríguez
Colegio Público Pradolongo,CALLE PARQUE DE LA PALOMA 9,San Delfín,Calle San Delfín nº 9,1929.8100728162085,3,https://www.google.com/maps/dir/Colegio+Público+Pradolongo/Bicimad+San+Delfín
Colegio Público Príncipe de Asturias,CALLE KANT 2,Pedro Rico,Calle Pedro Rico nº 4,6797.142667481166,2,https://www.google.com/maps/dir/Colegio+Público+Príncipe+de+Asturias/Bicimad+Pedro+Rico
Colegio Público Puerto Rico,CALLE SEGURA 74,Glorieta de Cádiz,Calle Antonio López nº 129,3173.101132742111,12,https://www.google.com/maps/dir/Colegio+Público+Puerto+Rico/Bicimad+Glorieta+de+Cádiz
Colegio Público Pío Baroja,CALLE LUIS DE HOYOS SAINZ 84,Pavones,Calle Hacienda de Pavones nº 342,514.7002870455005,11,https://www.google.com/maps/dir/Colegio+Público+Pío+Baroja/Bicimad+Pavones
Colegio Público Pío XII,CALLE DELFIN 2,Remonta,Calle Azucenas nº 1,580.6330627776532,4,https://www.google.com/maps/dir/Colegio+Público+Pío+XII/Bicimad+Remonta
Colegio Público Rabindranath Tagore,CALLE JULIO PALACIOS 35,Pedro Rico,Calle Pedro Rico nº 4,860.1594146363765,2,https://www.google.com/maps/dir/Colegio+Público+Rabindranath+Tagore/Bicimad+Pedro+Rico
Colegio Público Ramiro de Maeztu,CALLE SERRANO 127,Serrano 113,Calle Serrano nº 113B,115.16177403584352,4,https://www.google.com/maps/dir/Colegio+Público+Ramiro+de+Maeztu/Bicimad+Serrano+113
Colegio Público Ramón Gómez de la Serna,CALLE GODELLA 170,Embajadores 191,Calle Sodio nº 1B,5518.272852352714,8,https://www.google.com/maps/dir/Colegio+Público+Ramón+Gómez+de+la+Serna/Bicimad+Embajadores+191
Colegio Público Ramón María del Valle Inclán,CALLE ALCONERA 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2533.5688678366073,13,https://www.google.com/maps/dir/Colegio+Público+Ramón+María+del+Valle+Inclán/Bicimad+Gutierre+de+Cetina
Colegio Público Ramón Pérez de Ayala,CALLE MOTILLA DEL PALANCAR 19,Carlota O’Neill,Calle Carlota O'Neill nº 32,3071.2002917514305,14,https://www.google.com/maps/dir/Colegio+Público+Ramón+Pérez+de+Ayala/Bicimad+Carlota+O’Neill
Colegio Público Real Armada,CALLE CORREGIDOR JUAN FRANCISCO DE LUJAN 114,Marroquina,Calle Camino de los Vinateros nº 108,741.0263017428277,16,https://www.google.com/maps/dir/Colegio+Público+Real+Armada/Bicimad+Marroquina
Colegio Público Regimiento Inmemorial del Rey,AVENIDA MORATALAZ 51,Camino Vinateros,Calle Camino de los Vinateros nº 28,352.7995460611016,12,https://www.google.com/maps/dir/Colegio+Público+Regimiento+Inmemorial+del+Rey/Bicimad+Camino+Vinateros
Colegio Público Reina Victoria,CALLE PRINCIPE DE VERGARA 61,Diego de León 52,Calle Diego de León nº 52,179.26216959066213,6,https://www.google.com/maps/dir/Colegio+Público+Reina+Victoria/Bicimad+Diego+de+León+52
