title,distance
Colegio Público Adolfo Suárez,3796.3942398964855
Colegio Público Agustina Díez,1932.1238565239294
Colegio Público Agustín Rodriguez Sahagún,3856.153930695459
Colegio Público Alberto Alcocer,3253.4711167218056
Colegio Público Alcalde de Móstoles,6261.761114560321
Colegio Público Alfonso X El Sabio,3460.1728042128807
Colegio Público Alfredo di Stefano,3253.4711167218056
Colegio Público Alhambra,3619.2484908882893
Colegio Público Amadeo Vives,3267.146947373068
Colegio Público Amador de los Ríos,143.12032191326858
Colegio Público Amós Acero,468.28926332620364
Colegio Público Angel Nieto,6818.125902220048
Colegio Público Antonio Fontan,3446.5490646603603
Colegio Público Antonio Machado,5419.609347934054
Colegio Público Antonio Moreno Rosales,200.38835371517627
Colegio Público Antonio de Nebrija,4188.4015413986135
Colegio Público Aragón,935.5004197648864
Colegio Público Aravaca,6372.656651466712
Colegio Público Arcipreste de Hita,1799.9096745032641
Colegio Público Arquitecto Gaudí,1057.1744527615588
Colegio Público Asturias,2119.2807233444555
Colegio Público Ausias March,5289.300378147228
Colegio Público Azorín,5173.436399213045
Colegio Público Barcelona,3427.3505816924985
Colegio Público Blas de Lezo,3838.018385228929
Colegio Público Blas de Otero,3300.764619099777
Colegio Público Bolivia,2386.428397853959
Colegio Público Bravo Murillo,2875.6952380731736
Colegio Público Breogán,1490.7085619073357
Colegio Público Calderón de la Barca,7824.138677173688
Colegio Público Camilo José Cela,1415.1398946766672
Colegio Público Capitán Cortés,3507.7411369122656
Colegio Público Cardenal Herrera Oria,2528.194737035252
Colegio Público Carlos Sáinz de los Terreros,1801.027426700501
Colegio Público Carlos V,264.91304747408594
Colegio Público Carmen Cabezuelo,1357.0722648710184
Colegio Público Carmen Laforet,3971.564979086387
Colegio Público Cervantes,67.54714034859269
Colegio Público Ciudad Pegaso,5174.80324696222
Colegio Público Ciudad de Badajoz,6277.747282976473
Colegio Público Ciudad de Córdoba,2956.0633215564503
Colegio Público Ciudad de Guadalajara,7063.603090606083
Colegio Público Ciudad de Jaén,1825.2118679555028
Colegio Público Ciudad de Roma,318.4489044976303
Colegio Público Ciudad de Valencia,3763.0969158662338
Colegio Público Ciudad de Zaragoza,6513.363527286996
Colegio Público Ciudad de los Ángeles,3735.4002673667223
Colegio Público Claudio Moyano,256.1067806829495
Colegio Público Complejo Escolar Príncipe Felipe,1403.0044338824484
Colegio Público Concepción Arenal,194.7266522771596
Colegio Público Concha Espina,1931.0802039972675
Colegio Público Conde de Romanones,673.1614668401803
Colegio Público Cortes de Cádiz,3927.0987317894683
Colegio Público Costa Rica,4037.5970279230414
Colegio Público Cristóbal Colón,4346.754164006924
Colegio Público Cuba,3987.1128332943053
Colegio Público Daniel Vázquez Díaz,1056.0474172178435
Colegio Público Dionisio Ridruejo,3637.7639290207635
Colegio Público Doctor Conde Arruga,604.2911006434575
Colegio Público Doctor Federico Rubio,152.4713275640646
Colegio Público Doctor Severo Ochoa,2581.1521447118184
Colegio Público Doctor Tolosa Latour,2205.4263118846598
Colegio Público Dámaso Alonso,4875.735076568373
Colegio Público EEUU - Huarte de San Juan,1099.3995463237354
Colegio Público Eduardo Rojo,793.7275771736478
Colegio Público El Espinillo,3099.1806796793335
Colegio Público El Greco,5166.267551065543
Colegio Público El Madroño,572.5640031769813
Colegio Público El Quijote,3078.9116280384496
Colegio Público El Sol,3330.444823195449
Colegio Público Emilia Pardo Bazán,241.4521111391668
Colegio Público Ermita del Santo,470.2865125687094
Colegio Público Escuelas Aguirre,140.63588010128603
Colegio Público Escuelas Bosque,564.5788257318676
Colegio Público Esperanza,2006.0594493611104
Colegio Público Eugenio María de Hostos,1761.4127015299134
Colegio Público Felipe II,1122.2086927975292
Colegio Público Fernando el Católico,147.7415517511611
Colegio Público Fernández de Moratín,717.076710893469
Colegio Público Filósofo Séneca,3604.7753433153366
Colegio Público Fontarrón,595.7075301308042
Colegio Público Francisco Arranz,5380.628144711094
Colegio Público Francisco Fatóu,3258.313853956437
Colegio Público Francisco Ruano,1586.038981504765
Colegio Público Francisco de Goya,243.15175763412697
Colegio Público Francisco de Luis,336.7530661815207
Colegio Público Francisco de Quevedo,126.55610683040013
Colegio Público Fray Junípero Serra,505.5330399439195
Colegio Público Gabriela Mistral,3727.77869041903
Colegio Público Gandhi,830.9652051304188
Colegio Público Garcilaso de la Vega,3076.417702686928
Colegio Público García Morente,2278.5255709487665
Colegio Público Giner de los Ríos,1616.9256307486664
Colegio Público Gloria Fuertes,2255.252676765645
Colegio Público Gonzalo Fernández de Córdoba,5904.14041528848
Colegio Público Gonzalo de Berceo,1623.1592725549203
Colegio Público Guindalera,103.18422075091061
Colegio Público Gustavo Adolfo Bécquer,329.80311446399156
Colegio Público Haití,3246.758330780944
Colegio Público Hermanos Pinzón,4643.52139903896
Colegio Público Hernán Cortés,3230.123898599481
Colegio Público Honduras,2951.877112237802
Colegio Público Hortaleza,3201.685935952046
Colegio Público Infanta Leonor,3293.1994903044433
Colegio Público Isaac Albéniz,987.7896122388271
Colegio Público Isaac Peral,2080.300778076727
Colegio Público Isabel la Católica,78.21756507546027
Colegio Público Jaime Balmes,851.4809763964519
Colegio Público Jaime Vera,119.02399567869811
Colegio Público Javier de Miguel,1293.4742436108252
Colegio Público Joaquín Costa,377.55155863257926
Colegio Público Joaquín Dicenta,1165.9198913869375
Colegio Público Joaquín Turina,2123.1470443631533
Colegio Público Jorge Guillén,1791.6291464722306
Colegio Público Jorge Manrique,747.7660121205145
Colegio Público Josep Tarradellas,3764.0869200431853
Colegio Público José Bergamín,1815.0663802991685
Colegio Público José Calvo Sotelo,70.93320407186157
Colegio Público José María de Pereda,1374.2687730359116
Colegio Público José Ortega y Gasset,383.8008773578655
Colegio Público José de Echegaray,4218.226594150226
Colegio Público Jovellanos,6927.774621509151
Colegio Público Juan Gris,3637.4061545849336
Colegio Público Juan Ramón Jiménez,550.02745540171
Colegio Público Juan Sebastián Elcano,383.95960162382937
Colegio Público Juan Zaragüeta,3742.6398015658788
Colegio Público Juan de la Cierva,3876.4549426683798
Colegio Público Julián Besteiro,2348.7332255043293
Colegio Público Julián Marías,4294.62289616082
Colegio Público La Alameda,3737.422301551575
Colegio Público La Dehesa del Príncipe,7996.76327834091
Colegio Público La Latina,4363.44476272609
Colegio Público La Rioja,1386.8348116044997
Colegio Público Legado Crespo,121.57465038565786
Colegio Público Leopoldo Alas,350.7970904311866
Colegio Público Leopoldo Calvo Sotelo,2644.234275542206
Colegio Público Lepanto,1953.2797897808086
Colegio Público Lope de Vega,845.2945381922733
Colegio Público Lorenzo Luzuriaga,1591.7634377225793
Colegio Público Los Almendros,1082.7144193100312
Colegio Público Los Rosales,4402.562118723822
Colegio Público Loyola de Palacio,5983.498610684637
Colegio Público Luis Bello,184.9293595718927
Colegio Público Luis Cernuda,2039.0570646904598
Colegio Público Luis de Góngora,2113.170504388948
Colegio Público Madrid Sur,2254.6222156690224
Colegio Público Maestro Padilla,5244.204657720235
Colegio Público Manuel Bartolomé Cossío,5725.863329473751
Colegio Público Manuel Núñez de Arenas,2120.206685099238
Colegio Público Manuel Sáinz de Vicuña,388.85657744711807
Colegio Público Manuel de Falla,4789.95730501057
Colegio Público Marcelo Usera,209.27037082254984
Colegio Público Margaret Thatcher,7173.433061172259
Colegio Público Mariano José de Larra,3573.026414810027
Colegio Público Marqués de Marcenado,473.37462691558505
Colegio Público Marqués de Suanzes,2362.5209106374914
Colegio Público Martínez Montañés,187.87579514545212
Colegio Público María Moliner,2580.149918296601
Colegio Público María de Villota,2953.753781684797
Colegio Público Menéndez Pelayo,256.1708782423962
Colegio Público Menéndez Pidal,733.0427178036704
Colegio Público Meseta de Orcasitas,2217.490782443814
Colegio Público Mesonero Romanos,1321.564131642511
Colegio Público Miguel Blasco Vilatela,983.1511895346325
Colegio Público Miguel Servet,1911.8707168585672
Colegio Público Miguel de Unamuno,28.06350383363121
Colegio Público Mirasierra,3081.2552534378196
Colegio Público Monte de El Pardo,8897.937651032737
Colegio Público Méjico (México),207.86048973365786
Colegio Público Méndez Núñez,2829.6957618640527
Colegio Público Navas de Tolosa,5032.0650804712905
Colegio Público Nuestra Señora de la Almudena,164.52819646313947
Colegio Público Nuestra Señora de la Concepción,188.92605620741026
Colegio Público Nuestra Señora de la Fuencisla,997.2110167677862
Colegio Público Nuestra Señora de la Luz,5078.099405614983
Colegio Público Nuestra Señora de la Paloma,37.05888360296307
Colegio Público Nuestra Señora del Lucero,1583.5792704771727
Colegio Público Nuria Espert,6446.511774672736
Colegio Público Pablo Picasso,3021.3218093895384
Colegio Público Padre Coloma,3584.42651877257
Colegio Público Padre Mariana,1963.017878345474
Colegio Público Padre Poveda,786.5721618431452
Colegio Público Palacio Valdés,46.84302565113655
Colegio Público Palomeras Bajas,1724.640565666263
Colegio Público Parque Aluche,4155.510557971418
Colegio Público Parque Eugenia de Montijo,4335.183796256954
Colegio Público Pasamonte,469.9540202684864
Colegio Público Patriarca Obispo Eijo y Garay,216.5089095960258
Colegio Público Pedro Duque,3063.0985868910325
Colegio Público Perú,586.3084050396877
Colegio Público Pi I Margall,111.75136149570733
Colegio Público Pinar de San José,6506.280741133302
Colegio Público Pinar del Rey,2840.758821417243
Colegio Público Pintor Rosales,45.192902363908814
Colegio Público Plácido Domingo,459.2780956249685
Colegio Público Portugal,206.70688694151352
Colegio Público Pradolongo,1929.8100728162085
Colegio Público Príncipe de Asturias,6797.142667481166
Colegio Público Puerto Rico,3173.101132742111
Colegio Público Pío Baroja,514.7002870455005
Colegio Público Pío XII,580.6330627776532
Colegio Público Rabindranath Tagore,860.1594146363765
Colegio Público Ramiro de Maeztu,115.16177403584352
Colegio Público Ramón Gómez de la Serna,5518.272852352714
Colegio Público Ramón María del Valle Inclán,2533.5688678366073
Colegio Público Ramón Pérez de Ayala,3071.2002917514305
Colegio Público Real Armada,741.0263017428277
Colegio Público Regimiento Inmemorial del Rey,352.7995460611016
Colegio Público Reina Victoria,179.26216959066213
Colegio Público República Dominicana,4510.35414719904
Colegio Público República de Brasil,2095.49458011786
Colegio Público República de Chile,1816.964341270508
Colegio Público República de Colombia,3374.9828617583894
Colegio Público República de Ecuador,1528.1092394382654
Colegio Público República de El Salvador,4398.643906545586
Colegio Público República de Panamá Nº 1,2632.165140754293
Colegio Público República de Paraguay,1427.6932616433578
Colegio Público República de Uruguay,2246.5203837556032
Colegio Público República de Venezuela,1356.2086324094507
Colegio Público Rosa Luxemburgo,4709.3668783141375
Colegio Público Rufino Blanco,162.314770575763
Colegio Público Sagunto,5388.423471086323
Colegio Público San Benito,235.1927631858491
Colegio Público San Carlos,5149.116318072955
Colegio Público San Cristóbal,156.66842958458437
Colegio Público San Eugenio y San Isidro,183.37352575900803
Colegio Público San Ignacio de Loyola,1597.5138698481471
Colegio Público San Ildefonso,178.56268141264414
Colegio Público San Isidoro,185.39960697408648
Colegio Público San Juan Bautista,909.6583470669622
Colegio Público San Juan Bosco,494.79309422586346
Colegio Público San Juan de la Cruz,287.0906962878039
Colegio Público San Miguel,3183.8962688698703
Colegio Público San Pablo,1468.7363969337268
Colegio Público San Roque,4697.169830763138
Colegio Público Santa María,93.44977432375931
Colegio Público Santo Domingo,1566.804665359985
Colegio Público Tirso de Molina,413.6490609223847
Colegio Público Tomás Bretón,237.2763589774561
Colegio Público Valdebernardo,1898.5594070978811
Colegio Público Vasco Núñez de Balboa,2051.076001652947
Colegio Público Vicálvaro,3771.5768718032487
Colegio Público Virgen del Cerro,1161.3725289989222
Colegio Público Virgen del Cortijo,2954.9378984875257
Colegio Público Vázquez de Mella,144.77078777690048
Colegio Público Winston Churchill,4390.107730590746
Colegio Público de Practicas Asunción Rincón,349.3769005165445
Colegio Público Álvaro de Bazan,3854.840597174672
Escuela infantil municipal Agua Dulce,329.8103153996904
Escuela infantil municipal Altair,5656.053381651263
Escuela infantil municipal Amanecer,3745.7614084674296
Escuela infantil municipal Ana de Austria,3757.4467986473765
Escuela infantil municipal Campanilla,168.21795450608525
Escuela infantil municipal Cielo Azul,1502.6037750911887
Escuela infantil municipal Doña Francisquita,4418.494579245546
Escuela infantil municipal El Alba,36.927471536962905
Escuela infantil municipal El Barberillo de Lavapiés,402.20208074904787
Escuela infantil municipal El Bateo,5946.702451323207
Escuela infantil municipal El Bosque,43.64129648049801
Escuela infantil municipal El Caserío,1157.6214734576506
Escuela infantil municipal El Duende,111.75136149570733
Escuela infantil municipal El Lirón,878.7045350859293
Escuela infantil municipal El Manantial,1884.9653132475182
Escuela infantil municipal El Olivar,125.37669933021725
Escuela infantil municipal El Rocío,4289.1594496577945
Escuela infantil municipal El Sol,760.5589720833337
Escuela infantil municipal Escuelas de San Antón,55.4809083265858
Escuela infantil municipal Fernando el Católico,147.7415517511611
Escuela infantil municipal Gigantes y Cabezudos,873.6103565107443
Escuela infantil municipal Hiedra,2541.9705080811364
Escuela infantil municipal La Alegría de la Huerta,4318.582736705867
Escuela infantil municipal La Brisa,1153.1865666658014
Escuela infantil municipal La Bruja Avería - Lolo Rico,317.85559575149813
Escuela infantil municipal La Caracola,877.5757588856253
Escuela infantil municipal La Chulapona,6584.274983083323
Escuela infantil municipal La Colina,8357.094603404386
Escuela infantil municipal La Cornisa,883.6304952231462
Escuela infantil municipal La Corte de Faraón,1988.7062495675382
Escuela infantil municipal La Gran Vía,2672.79605392377
Escuela infantil municipal La Luna,5032.0650804712905
Escuela infantil municipal La Melonera,520.7819103748888
Escuela infantil municipal La Oliva,3089.1981011128587
Escuela infantil municipal La Paloma,37.05888360296307
Escuela infantil municipal La Patria Chica,6529.866935204619
Escuela infantil municipal La Revoltosa,6362.815863162223
Escuela infantil municipal La Rosa del Azafrán,2161.6028446470655
Escuela infantil municipal La Verbena de la Paloma,5263.940804618286
Escuela infantil municipal La del Manojo de Rosas,2855.192232825386
Escuela infantil municipal La del Soto del Parral,6055.379786643666
Escuela infantil municipal Las Amapolas,4126.031650015412
Escuela infantil municipal Las Azaleas,733.574332299358
Escuela infantil municipal Las Leandras,5471.053946706668
Escuela infantil municipal Las Mercedes,6906.6866634964845
Escuela infantil municipal Las Nubes,346.89181869475044
Escuela infantil municipal Las Pléyades,6571.467112466235
Escuela infantil municipal Las Viñas,6372.656651466712
Escuela infantil municipal Los Gavilanes,283.714189685921
Escuela infantil municipal Los Juncos,3358.428428830191
Escuela infantil municipal Los Pinos,5345.620250454459
Escuela infantil municipal Los sobrinos del Capitan Grant,3929.7513355932124
Escuela infantil municipal Luis Bello,142.08497620184932
Escuela infantil municipal Luisa Fernanda,2103.611452817117
Escuela infantil municipal Margarita Salas,130.4650608715753
Escuela infantil municipal Molinos de Viento,2769.893666905914
Escuela infantil municipal Osa Menor,182.72020138940795
Escuela infantil municipal Parque de Ingenieros,3798.99304311282
Escuela infantil municipal Ruiz Jiménez,188.19400639544492
Escuela infantil municipal Tarabilla,949.0645010612133
Escuela infantil municipal VeoVeo,255.29561463922857
